iso3c,region_id,country_name,income_id,gdp,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,composition_rubber_leather_percent,composition_wood_percent,composition_yard_garden_green_waste_percent,other_information_information_system_for_solid_waste_management,other_information_national_agency_to_enforce_solid_waste_laws_and_regulations,other_information_national_law_governing_solid_waste_management_in_the_country,other_information_ppp_rules_and_regulations,other_information_summary_of_key_solid_waste_information_made_available_to_the_public,population_population_number_of_people,special_waste_agricultural_waste_tons_year,special_waste_construction_and_demolition_waste_tons_year,special_waste_e_waste_tons_year,special_waste_hazardous_waste_tons_year,special_waste_industrial_waste_tons_year,special_waste_medical_waste_tons_year,total_msw_total_msw_generated_tons_year,waste_collection_coverage_rural_percent_of_geographic_area,waste_collection_coverage_rural_percent_of_households,waste_collection_coverage_rural_percent_of_population,waste_collection_coverage_rural_percent_of_waste,waste_collection_coverage_total_percent_of_geographic_area,waste_collection_coverage_total_percent_of_households,waste_collection_coverage_total_percent_of_population,waste_collection_coverage_total_percent_of_waste,waste_collection_coverage_urban_percent_of_geographic_area,waste_collection_coverage_urban_percent_of_households,waste_collection_coverage_urban_percent_of_population,waste_collection_coverage_urban_percent_of_waste,waste_treatment_anaerobic_digestion_percent,waste_treatment_compost_percent,waste_treatment_controlled_landfill_percent,waste_treatment_incineration_percent,waste_treatment_landfill_unspecified_percent,waste_treatment_open_dump_percent,waste_treatment_other_percent,waste_treatment_recycling_percent,waste_treatment_sanitary_landfill_landfill_gas_system_percent,waste_treatment_unaccounted_for_percent,waste_treatment_waterways_marine_percent,where_where_is_this_data_measured
AUS,EAS,Australia,HIC,1.3493E+12,48.44,3.81,19.38,3.46,17.3,7.61,,,,Yes,Yes,Yes,Yes,Yes,23789338,,2.00E+07,5.74E+05,7.00E+06,3.10E+07,,1.33E+07,,,,,,,,,,,,,,,,9.77,48.87,,,42.1,,,,
AUT,ECS,Austria,HIC,4.2004E+11,31.4,7,4.4,18.5,19.7,11.1,,7.9,,,Yes,Yes,No,,8633169,1887723,42423893,166174,1272288,,696748,4.84E+06,,,,,,,,97.77,,,,,,31.24,,37.9,2.98,,,25.66,,2.22,,
AZE,ECS,Azerbaijan,UMC,57195531762,45.19,5.28,3.49,13.73,10.93,7.87,3.09,,10.42,,Yes,Yes,No,,9649341,,,6.30E+04,296979.4,,,2930349,,,,,,,56,,,,90,,,,,,,100,,,,,,Various
BDI,SSF,Burundi,LIC,2297241392,81,2.9,2.1,3.2,7.3,3.5,,,,,,,,,6741569,,,5.00E+03,,,,1872016,,,,,,,,,,,,,,,,,,,,,,,,
BEL,ECS,Belgium,HIC,5.15103E+11,14.18,3.1,1.91,40.14,18.38,13.94,,2.37,5.84,,Yes,Yes,No,,11274196,5635143,35824399,603575,2946195,,2397368,4.71E+06,,,,,,,,97.74,,,,,,19.137,,43.39,0.91,,,34.303,,2.26,,
BEN,SSF,Benin,LIC,9102277423,52.1,1.6,1.6,34.3,3.1,7.3,,,,,,Yes,Yes,,5521763,,,8200,,,1698,685936.01,,,,,,,,,,,,,,,,,,,,25,,75,,
BFA,SSF,Burkina Faso,LIC,12380518526,21,1,1,61,7,9,,,,No,No,Yes,Yes,,18110624,,,1.10E+04,7871,,,2575251.11,,,,,,,9.6,34.52,,,,,,,,,17,59,,12,,12,,
BGD,SAS,Bangladesh,LMC,1.67771E+11,80.58,0.44,0.5,8.59,3.04,4.67,1.08,,1.1,No,Yes,Yes,Yes,,155727053,6.50E+07,,1.42E+05,114358,26884,12271,14778497.33,,,,,,,,52,,,60.39,,,5.25,,,,,,,,94.75,,Source
BGR,ECS,Bulgaria,UMC,56792405577,24.35,5.83,1.98,17.93,14.18,12.15,1.96,2.48,19.18,Yes,Yes,Yes,Yes,Yes,7177991,983646,172369117,53785,12206169,,518228,3.01E+06,,,,,,,,98.3,,,,,,10.32,,2.75,66.22,,,19.03,,1.68,,Other
BHR,MEA,Bahrain,HIC,31769062885,59.1,3.4,2.1,15.2,12.8,7.4,,,,No,Yes,Yes,,,1425171,,570099.67,2.00E+04,3.10E+04,1.40E+05,9.11E+05,951942.9695,,,,,,,,,,,,,,,,,92,,,8,,,,Disposal Site
BHS,LCN,"Bahamas, The",HIC,10343803832,46,7,7,12,15,13,,,,No,Yes,No,No,No,386838,,,4900,,,,2.64E+05,,,,,,,,,,,,,,,,,,,,,,,,
BIH,ECS,Bosnia and Herzegovina,UMC,18929698720,,,,92.7,4.9,,,,2.4,No,No,No,Yes,Yes,3535961,,252310,1409,8408,4048650,8150,1248718,,,,,,,,73.99,,,,,,,8.55,,,41.75,0.025,9.70E-04,24.12,25.55403,,Other
BLR,ECS,Belarus,UMC,59187019676,30,8,2,35,5,12,6,2,,Yes,Yes,Yes,Yes,Yes,9489616,,,7.20E+04,1336926,,,4.28E+06,,,69.2,,,,93.2,,,,100,,,,76.9,,,7.1,,16,,,,At the disposal sites and at the waste generation source
BLZ,LCN,Belize,UMC,1602671549,47,8,5,5,16,19,,,,Yes,Yes,Yes,,,359288,,,2300,,,188,101378.8303,,,,,,,85.2,,,,,,,,,,,66,,,34,,,
BMU,NAC,Bermuda,HIC,,17,9,6,26,29,13,,,,Yes,Yes,Yes,No,,64798,,,,525,,,8.20E+04,,,,,,,100,,,,,,,18.3,12.2,67.6,,,,2,,,,
BOL,LCN,Bolivia,LMC,26758341469,55.1969112,2.903474903,2.501930502,22.7027027,6.501930502,10.19305019,,,,Yes,Yes,Yes,No,Yes,10724705,,,35392,545183,,4683,2219052,,,5.9,,,,57.6,,,,85.4,,,0.4,0.04,,,55.52,,12.11,31.93,,,Source
BRA,LCN,Brazil,UMC,2.25691E+12,51.4,2.4,2.9,16.7,13.1,13.5,,,,Yes,Yes,Yes,Yes,,205962108,,45158165,1411900,,,260063,79889010,,,,,,,91.3,90.81,,,,,,0.2,21.88521,,,15.61932,,1.4,53.30547,7.59,,
BRB,LCN,Barbados,HIC,4637855785,18.3,3.7,4.9,5.7,19.7,17.1,12.1,,18.6,No,Yes,No,No,No,280601,,184957,3800,9410.337,,,174815.4444,,,,,,,90,,,,,,,,90,,,,,9,,1,,Disposal Site
BRN,EAS,Brunei Darussalam,HIC,13301457675,36,3,4,15,18,16,1,1,6,,Yes,Yes,Yes,Yes,423196,,,7700,,,195,216253.156,,,,,,,,,,,,,,2,,,,,,,70,28,,
BTN,SAS,Bhutan,LMC,2234759342,58,4,1,7,17,13,,,,No,Yes,Yes,Yes,Yes,686958,,,1457.5,,1476.37,358,111314.05,,,,,,,,,,,,95,,1.39,98,,,,,0.86,,,,Source
BWA,SSF,Botswana,UMC,16843294913,8.1,,0.1,91.9,,,,,,,,,,,2014866,,,1.60E+04,,,2500,210854.4426,,7,,,,,,,,60,,,,,,,,,,1,,99,,
CAF,SSF,Central African Republic,LIC,1496562092,,,,,,,,,,,,Yes,No,,4515392,,,2700,,,,1105983,,,,,,,,,,,,,,,,,,,,,,,,
CAN,NAC,Canada,HIC,1.828E+12,24,6,13,8,47,3,,,,Yes,Yes,Yes,Yes,Yes,35544564,1.81E+08,653255,7.24E+05,,1.12E+09,,25103034,,,,,,,99,,,,,,,4.08,,3,72.33,,,20.59,,,,
CHE,ECS,Switzerland,HIC,6.4209E+11,29,4,3,29,20,15,,,,,Yes,Yes,,Yes,8372098,,6.39E+06,1.84E+05,1.20E+06,1.47E+06,,6.06E+06,,,,,,,99,,,,,,,21,,47,,,,32,,,,
CHI,ECS,Channel Islands,HIC,,,,,,,,,,,,Yes,Yes,,,164541,,,,,,,178933,,,,,,,,,,,,,,15.90982659,39.21806358,16.44190751,,,,28.43020231,,,,
CHL,LCN,Chile,HIC,2.67904E+11,53.3,6.6,2.3,16,12.4,9.4,,,,Yes,No,Yes,Yes,,16829442,,,1.76E+05,249755,,,6.52E+06,,,,,,,,95,,,,,,0.44,85.25,0.14,,8.43,0.04,0.37,,5.33,,Other
CHN,EAS,China,UMC,9.50516E+12,61.2,2.1,1.1,13.1,9.6,9.8,1.3,1.8,,,Yes,Yes,Yes,,1.37E+09,4.00E+09,1.50E+09,7.21E+06,34652400,3.27E+09,,2.10E+08,,,20,,,,94,,,,,,,3,,29.84,60.16,8.21,,,,,,At Generator level
CIV,SSF,Côte d’Ivoire,LMC,36796468787,,,,,,,,,,,Yes,Yes,Yes,,20401331,,,2.20E+04,,,,4440814.27,,,,,,,,,,,,,,,,,,,,3,,97,,
CMR,SSF,Cameroon,LMC,35051979601,83.4,0.1,0.7,10.4,2.1,3.3,,,,,,Yes,Yes,,21655715,,,1.90E+04,8716.6,,,3270616.59,,,,,,,61.6,,,,,,,,,,,80.3,,0.4,19.3,,,
COD,SSF,"Congo, Dem. Rep.",LIC,32089998961,,,,,,,,,,,,Yes,No,,78736153,,,,,,,14385226.02,,,,,,,,,,,,,,,,,,,,4.9,,95.1,,
COG,SSF,"Congo, Rep.",LMC,14205686708,,,,,,,,,,No,No,Yes,No,,2648507,,,,,,,451200,,,,,,,,,,,,,,,,,,,,26.2,,73.8,,
COL,LCN,Colombia,UMC,3.66457E+11,59.58,2.35,1.1,15.74,8.4,12.83,,,,Yes,,No,Yes,,46406646,,,252200,270146.3,,27704,12150120,,24.1,,,,,80.6,,,97.4,,,,,,,,4,,17.2,89,,,
COM,SSF,Comoros,LIC,611370805.2,50,2,4,22,7,5,,,10,,,Yes,,,777424,,,600,,,,91013,,,,,,,,,,,,,,,,,,,,,,,,
CPV,SSF,Cabo Verde,LMC,1860165515,,,,,,,,,,Yes,Yes,Yes,,,513979,,,2400,3548.92,,76,132555,,,,,,,70.6,,,,,,,,,,,,,,,,,
CRI,LCN,Costa Rica,UMC,46551438317,58,1,2,7,21,11,,,,,,Yes,No,,4757575,,8.00E+05,35800,,,,1.46E+06,,,,,,,90.4,,,,,,,,23.5,,,9.1,,1.26,67.5,,,
CUB,LCN,Cuba,UMC,,68.9,4.6,1.6,3,12.3,9.6,,,,No,No,No,Yes,Yes,11303687,,,,565216,,,2692691.98,,,0.04,,,,76.9,,,,100,,,,30.68,,,42.23,,9.49,,17.6,,Other
CUW,LCN,Curacao,HIC,,,,,,,,,,,,Yes,Yes,,,153822,,,,,,,24703.8132,,,,,,,,,,,,,,,,,,,,2,,98,,
CYM,LCN,Cayman Islands,HIC,,10.9,3.5,6.2,11.4,31.1,11,,7.3,18.6,,Yes,Yes,,,59172,,,,,,,6.00E+04,,,,,,,,,,,,,,,,,,,,21,,79,,
CYP,ECS,Cyprus,HIC,24311614955,41.47,2.66,3.25,10.07,25.7,14.77,,2.08,,Yes,Yes,Yes,No,Yes,1160985,112018,1377767,18137,173377,,21404,5.41E+05,,,,,,,,92.42,,,,,,4.62,,,74.49,,,13.31,,7.58,,
CZE,ECS,Czech Republic,HIC,2.3134E+11,62.3,2.4,8.4,14.9,9.1,2.2,,0.7,,,Yes,Yes,Yes,,10546059,583264,13379041,79581,1162342,,797432,3.34E+06,,,,,,,,100,,,,,,4.22,,17.68,52.59,,,25.5,,0.01,,
DEU,ECS,Germany,HIC,3.7817E+12,30,10,1.4,17.7,24,13,4,,,,Yes,Yes,Yes,Yes,81686611,15011037,275413069,2465085,21812660,,8821344,5.10E+07,,,,,,,,97.55,,,,,,18.23,,31.71,0.21,,,47.83,,2.02,,
DJI,MEA,Djibouti,LMC,,,,,,,,,,,,,,,,746221,,,900,,,,114997.249,,,,,,,,,,,,,,,,,,,,,,,,
DMA,LCN,Dominica,UMC,506021862.9,45,8,5,14,12,16,,,,Yes,Yes,Yes,No,,72400,,,,627,,,13176,,,,,,,94,,,,,,,,94,,,,,,,6,,Disposal site
DNK,ECS,Denmark,HIC,3.4752E+11,12.78,5.78,6.29,23.86,11.57,1.61,0,7.65,30.46,Yes,Yes,Yes,Yes,Yes,5683483,1087281,11402900,168614,1718394,,317413,4.49E+06,,,,,,,,100,,,,,,18.99,,52.59,1.13,,,27.27,,0.02,,
DOM,LCN,Dominican Republic,UMC,73664129265,51,6,3,10,16,10,,4,,No,Yes,No,No,,10528394,,,5.70E+04,,,,4063910,,,,,,74.9,,,,,,,,,,,,72.5758314,,8.2,0.1,19.1241686,,Other
DZA,MEA,Algeria,UMC,1.96035E+11,54.4,1.2,2.8,0.8,9.8,16.9,12.6,1.5,,Yes,Yes,Yes,,Yes,40606052,,1.10E+07,2.52E+05,3.30E+05,2.55E+06,3.00E+04,12378740,,,87.5,,,,,,,,87.5,,,1,2,,,,,8,89,,,Disposal Site
ECU,LCN,Ecuador,UMC,85056519293,58.67,3.01,1.53,13.78,10.25,11.44,0.45,0.86,,Yes,Yes,No,Yes,Yes,16144368,,,7.30E+04,193812,,11292,5297211.143,,63.4,,,,88.4,,,,99.3,,,,,,,,22.28,,12.9,53.22,11.6,,
EGY,MEA,"Egypt, Arab Rep.",LMC,2.60816E+11,56,4,2,15,10,13,,,,Yes,Yes,No,Yes,,87813257,3.00E+07,4.00E+06,4.97E+05,3.80E+05,6.00E+06,28300,2.10E+07,,,15,,,,,,,,57.5,,,7,,,7,84,,12.5,,,,Disposal Site
ERI,SSF,Eritrea,LIC,,,,,,,,,,,,,,,,4474690,,,3800,,,,726957.37,,,,,,,,,,,,,,,,,,,,,,,,
ESP,ECS,Spain,HIC,1.46451E+12,49,8,3,14,15,9,,2,,No,Yes,Yes,Yes,Yes,46447697,8058640,52155411,1202597,2984518,,2990346,2.02E+07,,,,,,,,100,,,,,,16.45,,11.62,55.09,,,16.84,,,,
EST,ECS,Estonia,HIC,23808677023,36.7,8.3,2.6,15.9,17.5,18.6,,0.4,,Yes,Yes,Yes,No,Yes,1315407,149633,18094986,34312,10410321,,1750157,4.73E+05,,,,,,,,86.89,,,,,,3.6,7.4,51.37,,,,24.74,,12.89,,
ETH,SSF,Ethiopia,LIC,52347226230,87.6,0.8,1.2,4.4,3.8,2.3,,,,,Yes,Yes,,,99873033,,,4.90E+04,,,,6532786.97,,,,,,,,50,,,,,,,,,,43,,,,57,,
FIN,ECS,Finland,HIC,2.52692E+11,35.88,9.24,1.7,13.13,37.83,1.45,,0.73,,Yes,Yes,Yes,Yes,Yes,5479531,1079091,84662998,212954,1998693,,1006713,2.74E+06,,,,,,,,100,,,,,,12.45,,47.92,11.5,,,28.12,,0.01,,
FJI,EAS,Fiji,UMC,3771168286,33.2,4.1,1.9,3.5,12.5,7.5,0.1,,37.2,,Yes,Yes,Yes,,867086,,,4600,,,316.16,189389.594,,,,,,,,,,,,,,,,,52,,,5.45,,42.55,,Household waste collected
FRA,ECS,France,HIC,2.80604E+12,32,10,3,26,20,9,,,,,Yes,Yes,Yes,,66624068,11304163,236301207,2218682,10783405,,4867183,3.34E+07,,,,,,,,100,,,,,,17.26,,34.7,25.76,,,22.26,,0.02,,
FRO,ECS,Faeroe Islands,HIC,,,,,,,,,,,,,Yes,No,,48842,,,,,,,6.10E+04,,,,,,,,,,,,,,,,,,,,67,,33,,
FSM,EAS,"Micronesia, Fed. Sts.",LMC,296282644,23.83,7.07,16.73,9.32,13.3,26.17,3.58,,,,Yes,Yes,None,,104937,,,200,,,73.47,26039.57,,,,,,,8,,,,35,,,,,,,,,,,,,
GAB,SSF,Gabon,UMC,18912467101,,,,,,,,,,,,,Yes,,1086137,,,1.40E+04,,,,238102.31,,,3.8,,,,23.6,,,,28.5,,,,,,,,,,,,,
GBR,ECS,United Kingdom,HIC,2.75762E+12,16.7,2.2,3.5,28.2,18.9,20.2,,7.6,2.7,Yes,Yes,Yes,No,,65128861,10365788,156803699,3584126,5755258,,4218205,3.16E+07,,,,,,,,97.43,,,,,,16.23,,31.38,22.568,,,27.25,,2.572,,
GEO,ECS,Georgia,LMC,15189614351,39,3,5,16,34,3,,,,No,No,Yes,,,3717100,,,2.10E+04,,,,8.00E+05,,,,,,,60,,,,,,,,,,,,,,,,,
GHA,SSF,Ghana,LMC,48199090352,67,0,1,25,3,4,,,,,Yes,Yes,Yes,,21542009,,,3.90E+04,,,,3538274.978,,,,,,,,,,,,,,,,,,,,,,,,
GIB,ECS,Gibraltar,HIC,,24.57,4.42,4.37,14.38,33.65,15.86,,,,,Yes,Yes,Yes,Yes,33623,,3.00E+04,201.44,58995.04,,,16954,,,,,,,,,,,,,,,,,,,,,,,,
GIN,SSF,Guinea,LIC,9667718427,58,1,1,27,9,4,,,,,,Yes,Yes,,8132552,,,8.00E+03,,,,596911,,,,,,,,,,,,,,,,,,,,5,,95,,
GMB,SSF,"Gambia, The",LIC,1084318241,35,1.9,2.1,51.4,9.7,,,,,,Yes,Yes,No,,1311349,,,2200,,,,193440.54,,,,,,,,,,,,,,,,,,,,,,,,
GNB,SSF,Guinea-Bissau,LIC,1062488925,,,,,,,,,,,,,,,1770526,,,1.00E+03,,,,289514,,,,,,,,,,,,,,,,,,,,,,,,
GNQ,SSF,Equatorial Guinea,UMC,15045964750,,,,,,,,,,,,,,,1221490,,,,,,,198443.06,,,,,,,,,,,,,,,,,,,,,,,,
GRC,ECS,Greece,HIC,2.44481E+11,40,3,3,9,29,14,2,,,No,Yes,Yes,Yes,Yes,10892413,575225,59985396,188460,221041,,251623,5477424,100,,,,100,,,,100,,,,,,,,80,,1,19,,,,
GRD,LCN,Grenada,UMC,931118693.5,27.1,3.1,2.4,36.5,13.6,16.4,0.9,,,Yes,Yes,Yes,Yes,,105481,,,800,,,,29536.11394,,,,,,98.3,,,,,,,,0.2,98.3,,,,1.5,,,,,Disposal Site
GRL,ECS,Greenland,HIC,2823634004,42.8,7.1,2,33.4,11.4,2.4,,1,,,,Yes,No,,56905,,,,730,,,5.00E+04,,,,,,,,,,,,,,,,40,60,,,,,,,
GTM,LCN,Guatemala,UMC,51421926688,37.71449118,4.39183558,,18.01847364,16.04670215,17.29080875,,,6.537688691,,,No,Yes,,16252429,,,5.50E+04,10051,,818.6,2756740.971,,,,,,,77.7,,,,,,,,9.6,,,69.8,,,15.4,5.2,,
GUM,EAS,Guam,HIC,5214914976,27.3,4.6,9,8.7,28.5,12.4,3.1,6.4,,,Yes,Yes,Yes,Yes,159973,,,,,,,141500,,,100,,,,100,,,,100,,,,,,,,,17.85,64,18.15,,
GUY,LCN,Guyana,UMC,2925825406,50.1,4.7,4.2,12.1,10.7,14.2,1.5,2.5,,No,Yes,No,No,No,746556,,,5.00E+03,741.78,,,179251.5,,,,,,,89,,,,,,,,,,61.37,,,0.54,,38.09,,Other
HKG,EAS,"Hong Kong SAR, China",HIC,2.70105E+11,35,3,2,14,22,21,,3,,Yes,Yes,Yes,Yes,Yes,7305700,,1.53E+06,7.00E+04,54812,,2268,5679816.465,,,,,,,100,,,,,,,,,,66,,,34,,,,
HND,LCN,Honduras,LMC,19545909275,57.9,1.27,2.11,6.62,17.36,14.41,0.33,,,No,,Yes,Yes,,9112867,,,1700,253.14,,,2162027.696,,,,,,,64.6,,,,,,,,59.9,,,15,,,11.3,13.8,,
HRV,ECS,Croatia,HIC,61095271083,30.9,3.7,2.1,11.5,23.2,22.9,,,5.7,Yes,Yes,Yes,Yes,,4203604,395664,805354,58078,130326,,56814,1.65E+06,,,,,,,,97.76,,,,,,1.69,,,79.75,,,16.32,,2.24,,
HTI,LCN,Haiti,LIC,7911616492,61.3,1.6,2.5,16.8,4.1,12.7,,1,,No,No,No,No,No,10847334,,,6.00E+03,,,,2309852.455,,0.4,,,,12.4,,,,,23.8,,,,9.94,,,,,,,90.06,,Source
HUN,ECS,Hungary,HIC,1.47183E+11,22.5,3.5,1.8,45.9,13.4,13,,,,Yes,Yes,Yes,Yes,Yes,9843028,699238,7605276,50066,596554,,489182,3.71E+06,,,,,,,,99.94,,,,,,6.22,,14.14,53.64,,,25.94,,0.06,,
IDN,EAS,Indonesia,LMC,1.03786E+12,53.8,2.5,1.8,12.9,14.9,14,,,,,Yes,Yes,Yes,,261115456,1.22E+08,,1.27E+06,2.30E+07,,82125,6.52E+07,,,,,,,45,,,,,,,,,,69,10,14,7,,,,
IMN,ECS,Isle of Man,HIC,,,,,,,,,,,Yes,Yes,Yes,,Yes,80759,,122965,,,48783,,50551,,,,,,,,96,,,,,,,,25,25,,,50,,,,
IND,SAS,India,LMC,2.46618E+12,,,,,,,,,,No,Yes,Yes,Yes,Yes,1071477855,,2.75E+07,1.70E+06,7.47E+06,,180784.5,168403240,,,,,,,,,,,,78.19,,18,,,,77,,5,,,,
IRL,ECS,Ireland,HIC,3.32361E+11,16.6,8.5,3.7,25.8,25,12.4,,1.9,6.1,,Yes,Yes,Yes,Yes,4586897,554285,7898378,212874,482907,,776112,2692537,,,,,,,,92.04,,,,,,6,41,17,,,2,33,,1,,
IRN,MEA,"Iran, Islamic Rep.",UMC,5.40581E+11,72.9,1.9,2.3,5,7.3,8.5,1.1,1.3,,No,Yes,Yes,Yes,No,80277428,1.60E+07,8.00E+07,6.30E+05,8.00E+06,3.00E+07,1609650,1.79E+07,,,100,,,,100,,,,100,,0.3,12,10,0.4,,72,,5,,0.3,,Source
IRQ,MEA,Iraq,UMC,2.13938E+11,68.7,2.3,0.98,6,9.6,5.29,5.09,0.85,0.93,No,No,No,,,36115649,,,2.21E+05,20622,,,1.31E+07,,,,,,,76,,,,,,,,,,,100,,,,,,Source
ISL,ECS,Iceland,HIC,16434890343,10,,,,38,9,,29,14,,Yes,Yes,No,Yes,330815,5.00E+03,1.00E+03,7600,7.00E+03,1.00E+04,,5.25E+05,,,,,,,100,,,,,,,2.86,,1.9,30.29,,9.14,55.81,,,,
ISR,MEA,Israel,HIC,2.87808E+11,34,3,3,16,24,18,,,2,,Yes,Yes,,Yes,8380100,,7.00E+06,1.20E+05,3.21E+05,,,5.40E+06,,,,,,,,,,,,,,,,,75,,,25,,,,
ITA,ECS,Italy,HIC,2.08064E+12,34.4,7.6,4.3,15.4,22.8,11.6,,3.8,,Yes,Yes,Yes,No,,60730582,6921585,61938678,2800026,8923548,,16071024,2.95E+07,,,,,,,,88.92,,,,,,17.6,,19,26.48,,,25.9,,11.02,,
JAM,LCN,Jamaica,UMC,13801803130,62.22,2.81,2.38,5.13,14.73,12.2,,0.53,,Yes,Yes,Yes,Yes,Yes,2881355,,,1.70E+04,1.00E+04,,206.58,1051694.575,,28,,,,63.99,76,,,67,,,,,64,,,,29,,,7,,Source
JOR,MEA,Jordan,UMC,30811666897,50,2,1.5,15.5,15,16,,,,,No,Yes,Yes,,8413464,4.00E+06,,4.30E+04,1230441,4.50E+04,4.00E+03,2529997,,,70,,,,,,,,90,,,,,,48,45,,7,,,,Disposal Site
JPN,EAS,Japan,HIC,6.05267E+12,36,5,4,6,33,11,1,4,,Yes,No,Yes,Yes,,1.27E+08,3.51E+07,7.27E+07,518978,3.60E+06,3.93E+08,3.20E+05,4.40E+07,,,,,,,99.9,,,,,,0.1,0.4,1.1,80.2,,,13.3,4.9,,,,Source
KAZ,ECS,Kazakhstan,UMC,1.88309E+11,30,5,3,7,25,25,,2.5,,No,Yes,Yes,Yes,No,16791425,,,1.47E+05,,,,4659740,,,25,,,,77,,,,,,,,,,,60.1,,2.92,,36.98,,Disposal site
KEN,SSF,Kenya,LMC,55409230682,57,3,1,9,11.3,18.7,,,,,,Yes,,,41350152,,,17350,,,909182,5595099,,,,,,,40,40,,,,,,,,,,,,8,,92,,
KGZ,ECS,Kyrgyz Republic,LMC,6346700788,,,,,,,,,,No,Yes,Yes,Yes,,5956900,17900,3600,7200,4771346,,,1113300,,,,,,,,,,,,,,,,,,100,,,,,,Disposal Site
KHM,EAS,Cambodia,LMC,17009386902,66.6,2.6,2,10.4,4,8.6,,5.8,,No,Yes,Yes,Yes,,15270790,,,1.40E+04,,,147.09,1.09E+06,,,,,,,,,,,50,,,,,,,,17.5,,,82.5,,
KIR,EAS,Kiribati,LMC,192869131.3,43.6,5.5,10,9.3,10.9,16.5,4.2,,,,Yes,Yes,No,,114395,,,100,,766.5,16.22,35723.8275,,,,,,,54,,,,100,,,,,,,,,,,,,
